Mixture	Neu	Oli	Ast	Mic	End	P-value	Correlation	RMSE
X556_120517_4	0.330347812715886	0.228071737734221	0.152596183960287	0.288984265589607	0	0	0.536449823247657	0.841509824594451
X186_120424_4	0.333467272329579	0.25964565733744	0.233952621020712	0.159802296826295	0.0131321524859744	0	0.660591584924676	0.749971402798321
X424_120507_4	0.162616234702726	0.41897690894867	0.267693846260846	0.0829784459795093	0.0677345641082485	0	0.68373682155482	0.73004347233787
X227_120425_4	0.202054843873692	0.234915527743568	0.276949473914183	0.271907630752623	0.0141725237159343	0	0.790592461525293	0.617035028460758
X641_120524_4	0.48910608594237	0.178102675439989	0.143364837838543	0.123990874604869	0.0654355261742286	0	0.617490094550263	0.790787149105881
X486_120515_4	0.100300016199408	0.363238913523573	0.265735788551258	0.246130155966882	0.0245951257588796	0	0.69205670499093	0.720642136911739
X654_120529_4	0.143733000772847	0.266217356397712	0.396685239141754	0.106602411388171	0.0867619922995167	0	0.768166971042696	0.646907407411953
X521_120515_4	0.160389831713425	0.358159772584109	0.372328532930135	0.0743363952932802	0.0347854674790513	0	0.747010797539078	0.669617464874535
X721_120531_4	0.0354611524684755	0.451843493651509	0.44745276727253	0	0.0652425866074853	0	0.750821907208491	0.683037428262867
X542_120516_4	0.449122969877544	0.226411957309432	0.109466174799922	0.179784698530089	0.0352141994830143	0	0.625537966630736	0.790564609703251
X617_120524_4	0.101882447299658	0.327797452701873	0.314598115707044	0.211077610657964	0.0446443736334621	0	0.7484351778437	0.663198241893618
X618_120524_4	0.629460848944918	0.0580915935568156	0.101246179171372	0.191952607191322	0.0192487711355723	0	0.465068764048484	0.885057394861082
X628_120524_4	0.339335958386363	0.3510790967027	0.146363630244473	0.0440170718371244	0.119204242829339	0	0.588974160581153	0.814584942502389
X584_120522_4	0.702654370949718	0.0982056137392476	0.131012737514625	0.0234099630635848	0.0447173147328251	0	0.566683310950093	0.821512251024844
X648_120529_4	0.491211078923637	0.171329155839809	0.172437301173544	0.152919318921379	0.0121031451416311	0	0.675020749965899	0.743223046702173
X606_120523_4	0.195556765957527	0.334083909739197	0.353776612983313	0.0404701842718952	0.0761125270480679	0	0.819322408957782	0.578554702491667
X709_120531_4	0.137536078174545	0.422579555154234	0.261734647407935	0.118129359407489	0.0600203598557966	0	0.718135462379701	0.699553536255479
X624_120524_4	0.066296592683162	0.272698943053769	0.377131558699759	0.283872905563311	0	0	0.736935636299518	0.690005042730209
X690_120604_4	0.39387450350004	0.191089536928539	0.185340834397709	0.22155158615204	0.00814353902167285	0	0.633673878060552	0.772881252949473
X710_120531_4	0.329323388640408	0.225498825127302	0.221062527247067	0.224115258985223	0	0	0.713975400409205	0.70381783690866
X339_120501_4	0.252119999612075	0.307002521757116	0.19403041442909	0.13460495959563	0.112242104606089	0	0.720010374931155	0.715860725566542
X272_120430_4	0.331703808259284	0.204694146369241	0.282595380159356	0.170934797747487	0.0100718674646319	0	0.769096262062069	0.642435219232937
X594_120522_4	0.228505778296254	0.221986070913098	0.362059756142445	0.187448394648202	0	0	0.85983960332484	0.515647460835509
X549_120517_4	0.162793461586674	0.352570236206194	0.235301259259132	0.240422875147587	0.00891216780041457	0	0.713067954025611	0.703568169872984
X358_120502_4	0.427639778630319	0.239977447484511	0.157946062319434	0.173206287054628	0.0012304245111066	0	0.656851988564817	0.760174501322959
X273_120430_4	0.106993960185034	0.229307984245469	0.358270356547402	0.230580336950535	0.0748473620715598	0	0.737222013616204	0.6801762948438
X561_120517_4	0.238285960906506	0.15408932123105	0.220641063259512	0.326704380823313	0.0602792737796188	0	0.713271509810192	0.70244674667356
X159_120423_4	0.348593284394827	0.239683804939709	0.321205181588553	0.0442130675539361	0.0463046615229748	0	0.780758069593526	0.628106813295102
X608_120523_4	0.394730527662056	0.207935119313377	0.251121756450222	0.0350804247624858	0.11113217181186	0	0.771216108761249	0.653225019459713
X677_120604_4	0.241587996934414	0.137425239912277	0.412323843317587	0.160057905973947	0.0486050138617755	0	0.844155254653242	0.543573600262672
X351_120501_4	0.381230461022765	0.136568445539177	0.251257574311562	0.159187096735894	0.0717564223906015	0	0.710000996568306	0.705298630718528
X464_120514_4	0.106895320291371	0.347808954597045	0.396870787372451	0.0584258821134246	0.089999055625708	0	0.833766046274301	0.556076334528932
X469_120514_4	0.235851318132214	0.330580807379566	0.199478642965985	0.231745928784599	0.00234330273763515	0	0.68172635909715	0.735333325176302
